chr.x	START.x	END.x	chr.y	START.y	END.y
COVID	1	2	Covid_HB	18	19
COVID	2	3	Covid_HB	35	36
COVID	3	4	Covid_HB	39	40
COVID	4	5	Covid_HB	16	17
COVID	5	6	Covid_HB	3	4
COVID	6	7	Covid_HB	69	70
COVID	7	8	Covid_HB	60	61
COVID	10	11	Covid_HB	54	55
COVID	11	12	Covid_HB	57	58
COVID	12	13	Covid_HB	61	62
COVID	13	14	Covid_HB	55	56
COVID	14	15	Covid_HB	29	30
COVID	15	16	Covid_HB	70	71
COVID	16	17	Covid_HB	36	37
COVID	17	18	Covid_HB	30	31
COVID	18	19	Covid_HB	22	23
COVID	19	20	Covid_HB	21	22
COVID	20	21	Covid_HB	62	63
COVID	21	22	Covid_HB	50	51
COVID	22	23	Covid_HB	40	41
COVID	23	24	Covid_HB	67	68
COVID	24	25	Covid_HB	27	28
COVID	25	26	Covid_HB	23	24
COVID	26	27	Covid_HB	28	29
COVID	28	29	Covid_HB	58	59
COVID	29	30	Covid_HB	56	57
COVID	30	31	Covid_HB	13	14
COVID	31	32	Covid_HB	66	67
COVID	32	33	Covid_HB	74	75
COVID	33	34	Covid_HB	2	3
COVID	34	35	Covid_HB	51	52
COVID	35	36	Covid_HB	1	2
COVID	36	37	Covid_HB	9	10
COVID	37	38	Covid_HB	0	1
COVID	13	14	NEURONS	5	6
COVID	0	1	SH_DIF	6	7
COVID	8	9	SH_DIF	27	28
COVID	9	10	SH_DIF	29	30
COVID	15	16	SH_DIF	10	11
COVID	20	21	SH_DIF	17	18
COVID	27	28	SH_DIF	38	39
COVID	30	31	SH_DIF	16	17
COVID	36	37	SH_DIF	7	8
Covid_HB	55	56	NEURONS	5	6
Covid_HB	5	6	NEURONS	2	3
Covid_HB	7	8	NEURONS	6	7
Covid_HB	17	18	NEURONS	0	1
Covid_HB	37	38	NEURONS	8	9
Covid_HB	43	44	NEURONS	3	4
Covid_HB	68	69	NEURONS	4	5
Covid_HB	71	72	NEURONS	7	8
Covid_HB	70	71	SH_DIF	10	11
Covid_HB	62	63	SH_DIF	17	18
Covid_HB	13	14	SH_DIF	16	17
Covid_HB	9	10	SH_DIF	7	8
Covid_HB	6	7	SH_DIF	3	4
Covid_HB	8	9	SH_DIF	2	3
Covid_HB	10	11	SH_DIF	35	36
Covid_HB	11	12	SH_DIF	1	2
Covid_HB	12	13	SH_DIF	19	20
Covid_HB	14	15	SH_DIF	30	31
Covid_HB	15	16	SH_DIF	15	16
Covid_HB	19	20	SH_DIF	4	5
Covid_HB	20	21	SH_DIF	34	35
Covid_HB	24	25	SH_DIF	14	15
Covid_HB	25	26	SH_DIF	41	42
Covid_HB	26	27	SH_DIF	37	38
Covid_HB	31	32	SH_DIF	0	1
Covid_HB	32	33	SH_DIF	11	12
Covid_HB	33	34	SH_DIF	32	33
Covid_HB	34	35	SH_DIF	12	13
Covid_HB	38	39	SH_DIF	39	40
Covid_HB	41	42	SH_DIF	5	6
Covid_HB	42	43	SH_DIF	21	22
Covid_HB	44	45	SH_DIF	36	37
Covid_HB	45	46	SH_DIF	20	21
Covid_HB	46	47	SH_DIF	28	29
Covid_HB	47	48	SH_DIF	33	34
Covid_HB	48	49	SH_DIF	13	14
Covid_HB	49	50	SH_DIF	22	23
Covid_HB	53	54	SH_DIF	26	27
Covid_HB	59	60	SH_DIF	9	10
Covid_HB	63	64	SH_DIF	25	26
Covid_HB	64	65	SH_DIF	31	32
Covid_HB	65	66	SH_DIF	23	24
Covid_HB	72	73	SH_DIF	40	41
Covid_HB	73	74	SH_DIF	8	9
Covid_HB	75	76	SH_DIF	42	43
Covid_HB	76	77	SH_DIF	18	19
NEURONS	1	2	SH_DIF	24	25
