chr.x	START.x	END.x	chr.y	START.y	END.y
Astrocytes	5	6	Neurons	250	251
Astrocytes	6	7	Neurons	286	287
Astrocytes	9	10	Neurons	106	107
Astrocytes	11	12	Neurons	285	286
Astrocytes	13	14	Neurons	212	213
Astrocytes	14	15	Neurons	49	50
Astrocytes	15	16	Neurons	255	256
Astrocytes	17	18	Neurons	167	168
Astrocytes	20	21	Neurons	148	149
Astrocytes	21	22	Neurons	111	112
Astrocytes	22	23	Neurons	135	136
Astrocytes	23	24	Neurons	273	274
Astrocytes	24	25	Neurons	123	124
Astrocytes	25	26	Neurons	78	79
Astrocytes	29	30	Neurons	139	140
Astrocytes	34	35	Neurons	150	151
Astrocytes	35	36	Neurons	59	60
Astrocytes	37	38	Neurons	162	163
Astrocytes	42	43	Neurons	193	194
Astrocytes	43	44	Neurons	39	40
Astrocytes	44	45	Neurons	253	254
Astrocytes	45	46	Neurons	54	55
Astrocytes	47	48	Neurons	66	67
Astrocytes	51	52	Neurons	122	123
Astrocytes	53	54	Neurons	242	243
Astrocytes	55	56	Neurons	140	141
Astrocytes	57	58	Neurons	264	265
Astrocytes	61	62	Neurons	248	249
Astrocytes	62	63	Neurons	172	173
Astrocytes	64	65	Neurons	182	183
Astrocytes	66	67	Neurons	109	110
Astrocytes	67	68	Neurons	245	246
Astrocytes	69	70	Neurons	84	85
Astrocytes	70	71	Neurons	17	18
Astrocytes	74	75	Neurons	62	63
Astrocytes	77	78	Neurons	184	185
Astrocytes	79	80	Neurons	213	214
Astrocytes	80	81	Neurons	19	20
Astrocytes	83	84	Neurons	99	100
Astrocytes	84	85	Neurons	6	7
Astrocytes	85	86	Neurons	112	113
Astrocytes	91	92	Neurons	179	180
Astrocytes	92	93	Neurons	43	44
Astrocytes	94	95	Neurons	58	59
Astrocytes	96	97	Neurons	271	272
Astrocytes	97	98	Neurons	224	225
Astrocytes	1	2	SHSY5Y	156	157
Astrocytes	4	5	SHSY5Y	46	47
Astrocytes	7	8	SHSY5Y	133	134
Astrocytes	11	12	SHSY5Y	141	142
Astrocytes	12	13	SHSY5Y	108	109
Astrocytes	14	15	SHSY5Y	79	80
Astrocytes	23	24	SHSY5Y	91	92
Astrocytes	35	36	SHSY5Y	116	117
Astrocytes	36	37	SHSY5Y	132	133
Astrocytes	42	43	SHSY5Y	135	136
Astrocytes	52	53	SHSY5Y	111	112
Astrocytes	62	63	SHSY5Y	38	39
Astrocytes	70	71	SHSY5Y	51	52
Astrocytes	72	73	SHSY5Y	157	158
Astrocytes	75	76	SHSY5Y	31	32
Astrocytes	79	80	SHSY5Y	54	55
Astrocytes	82	83	SHSY5Y	92	93
Astrocytes	84	85	SHSY5Y	166	167
Astrocytes	89	90	SHSY5Y	107	108
Astrocytes	90	91	SHSY5Y	117	118
Astrocytes	5	6	CACO2	201	202
Astrocytes	6	7	CACO2	185	186
Astrocytes	7	8	CACO2	46	47
Astrocytes	9	10	CACO2	83	84
Astrocytes	11	12	CACO2	110	111
Astrocytes	12	13	CACO2	38	39
Astrocytes	17	18	CACO2	196	197
Astrocytes	20	21	CACO2	131	132
Astrocytes	24	25	CACO2	5	6
Astrocytes	26	27	CACO2	166	167
Astrocytes	30	31	CACO2	119	120
Astrocytes	35	36	CACO2	68	69
Astrocytes	36	37	CACO2	98	99
Astrocytes	41	42	CACO2	72	73
Astrocytes	42	43	CACO2	10	11
Astrocytes	43	44	CACO2	79	80
Astrocytes	45	46	CACO2	175	176
Astrocytes	47	48	CACO2	139	140
Astrocytes	49	50	CACO2	107	108
Astrocytes	51	52	CACO2	53	54
Astrocytes	54	55	CACO2	50	51
Astrocytes	55	56	CACO2	170	171
Astrocytes	58	59	CACO2	27	28
Astrocytes	61	62	CACO2	156	157
Astrocytes	62	63	CACO2	54	55
Astrocytes	68	69	CACO2	124	125
Astrocytes	78	79	CACO2	132	133
Astrocytes	79	80	CACO2	92	93
Astrocytes	81	82	CACO2	21	22
Astrocytes	85	86	CACO2	197	198
Astrocytes	90	91	CACO2	73	74
Astrocytes	96	97	CACO2	192	193
Astrocytes	100	101	CACO2	108	109
Astrocytes	0	1	Monocytes	52	53
Astrocytes	1	2	Monocytes	134	135
Astrocytes	3	4	Monocytes	72	73
Astrocytes	4	5	Monocytes	212	213
Astrocytes	7	8	Monocytes	154	155
Astrocytes	8	9	Monocytes	255	256
Astrocytes	12	13	Monocytes	121	122
Astrocytes	16	17	Monocytes	238	239
Astrocytes	18	19	Monocytes	244	245
